Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,User Comments,CM Comments,Page URL,Download File,Unnamed: 18,Missing,Other,Latitude,Longitude,Wise,Soap_Corpse,Mention Perpatrator,"Scale, none, other",Passive vs Active,Missing
30673,News Article,The Minneapolis Morning Tribune/The Minneapolis Tribune/The Minneapolis Sunday Tribune/Star Tribune,Minneapolis,Minnesota,25-Nov-42,2,Order to Slay Every Jew Laid to Hitler,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Marlene Knaus,"An inexpensive uncomplicated procedure to eliminate the Jewish people was to ""inject air bubbles into veins"".",,https://newspapers.ushmm.org/article/30673,,,[24],,44.977753,-93.2650108,0,0,1,2,0,
30668,News Article,The Boston Daily Globe/The Boston Globe,Boston,Massachusetts,25-Nov-42,5,"2,000,000 Jews Slain by Nazis, Says Dr. Wise",Noted N.Y. Rabbi Cites Washington as News Source,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Marlene Knaus,"The state department confirmed sources of slaying in the ""extermination campaign"".",,https://newspapers.ushmm.org/article/30668,,,[24],,42.3600825,-71.0588801,1,0,1,0,0,
30667,News Article,The Courier-Journal,Louisville,Kentucky,25-Nov-42,3,"2,000,000 Jews Slain So Far, Dr. Wise Says",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Marlene Knaus,The civilians that have been slain are being reconditioned for processing of fertilizer and soap fats.,,https://newspapers.ushmm.org/article/30667,,,[24],,38.2526647,-85.7584557,1,0,0,0,0,
30218,News Article,The Gazette and Daily/The York Daily Record,York,Pennsylvania,25-Nov-42,11,Two Million Jews Slain in Europe,"Dr. Stephen Wise Terms Nazi Treatment of Jews an ""Extermination Campaign""",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Catalina Gowdy,,"Hello Catalina, thank you for the two articles you submitted Dec. 7! They are a great addition to the History Unfolded database. You may have noticed that the news service ""Associated Press"" was mentioned in both, at the beginning of the article. They are bylines, so I added them in their abbreviated form in the Author/Byline field, ""AP"". Looking forward to your next interesting finds! –Nadia",https://newspapers.ushmm.org/article/30218,,,[24],,39.9625984,-76.727745,1,0,0,0,0,
28384,News Article,The Fargo Forum,Fargo,North+Dakota,25-Nov-42,2,Half Of Jews In Nazi Europe 'Exterminated',,AP,Nazi Plan to Kill All Jews Confirmed,Library of Congress,Published,Elif Shannon-Chastain,,,https://newspapers.ushmm.org/article/28384,,,[24],,46.8771863,-96.7898034,0,0,1,1,0,
26527,News Article,St. Paul Pioneer Press,St.+Paul,Minnesota,25-Nov-42,4,Half of Jews in Nazi Areas Reported Slain,,AP,Nazi Plan to Kill All Jews Confirmed,Library of Congress,Published,Sara Schliep,,,https://newspapers.ushmm.org/article/26527,,,[24],,44.9537029,-93.0899578,0,0,1,1,0,
26505,News Article,Bangor Daily News/The Bangor News,Bangor,Maine,25-Nov-42,1,"Dr. Wise Reports 2,000,000 Jews Slain in Europe",,AP,Nazi Plan to Kill All Jews Confirmed,Library of Congress,Published,Jill Breznican,,"Hi Jill, thank you for your contribution to History Unfolded, your article has been published. I just added ""AP"" in the Author/Byline field (you can see it at the beginning of the article after the writing date). Hope to receive other nice finds from you! –Nadia",https://newspapers.ushmm.org/article/26505,,,[24],,44.8016128,-68.7712257,1,0,0,0,0,
26490,News Article,Rocky Mountain News,Denver,Colorado,25-Nov-42,7,"Nazis Kill 2 Million Jews, Rabbi Says",,AP,Nazi Plan to Kill All Jews Confirmed,Library of Congress,Published,Jamie Wood,,"Hello Jamie, thank you for the articles you submitted today! They're all very interesting and have been published to the History Unfolded database. 
A couple of things on the data you entered: We typically enter just one number in the ""Page"" field; if you'd like to indicate that the articles continues on another page, you can use the comment section (e.g. ""1"" in the page field and ""Continues on page 2"" in the comments field). Also if you see a wire service indicated along with the author's name, or just a wire service, please enter it in the Author/Byline field – for example ""Frederick C. Oechsner (UP)"", or just ""AP"" (article says ""Associated Press""). 
Thanks again, looking forward to other finds from you. –Nadia",https://newspapers.ushmm.org/article/26490,,,[24],,39.7392358,-104.990251,1,0,1,0,1,
26441,News Article,The Idaho Daily Statesman/The Idaho Statesman,Boise,Idaho,25-Nov-42,1,Hitler Marks Jews for Death,Authority Charges Half Already Slain in Nazi-held Europe,AP,Nazi Plan to Kill All Jews Confirmed,Library of Congress,Published,Laura Bosserman,,,https://newspapers.ushmm.org/article/26441,,,[24],,43.6150186,-116.2023137,0,0,1,2,1,
26260,News Article,Los Angeles Times,Los+Angeles,California,25-Nov-42,2,Half Of Jews In Europe Dead,"Rabbi Wise Declares  2,000,000 Killed In Occupied Areas",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/26260,,,[24],,34.0522342,-118.2436849,1,0,0,1,0,
25627,News Article,The Daily Oklahoman,Oklahoma+City,Oklahoma,25-Nov-42,18,Jewish Leader Says Hitler Plans To Exterminate Race,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/25627,,,[24],,35.4675602,-97.5164276,1,0,0,2,1,
25505,News Article,The Philadelphia Inquirer,Philadelphia,Pennsylvania,25-Nov-42,3,"2,000,000 Jews Killed In Nazi-Ruled Europe, Dr. Wise Discloses",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ashley Odell,,,https://newspapers.ushmm.org/article/25505,,,[24],,39.9525839,-75.1652215,1,0,1,0,0,
24126,News Article,The New York Daily News/The Daily News,New+York,New+York,25-Nov-42,B12,"Nazis Execute 2,000,000 Jews, Dr. Wise Says",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/24126,,,[24],,40.7127753,-74.0059728,1,0,1,0,1,
23207,News Article,San Francisco Examiner,San+Francisco,California,25-Nov-42,5,2 Million Jews Believed Slain,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/23207,,,[24],,37.7749295,-122.4194155,0,0,0,0,0,
20621,News Article,The Nashville Tennessean,Nashville,Tennessee,25-Nov-42,16,"2,000,000 European Jews  Said Slain","Figure is Half Number Under Nazis, Dr Wise Sa                                                                                                                  ",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,,,https://newspapers.ushmm.org/article/20621,https://newspapers.ushmm.org/manager/article/photo/30555/original,,[24],,36.1626638,-86.7816016,1,0,0,0,0,
20329,News Article,"The Morning Herald (Hagerstown, Maryland)",Hagerstown,Maryland,25-Nov-42,1,DR. WISE REPORTED MANY JEWS SLAIN,Extermination of All in Nazi-Occupied Europe Reported Ordered,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Neha Mylvaganan,,,https://newspapers.ushmm.org/article/20329,https://www.newspapers.com/clip/77691537/,,[24],,39.6417629,-77.7199932,1,0,0,1,0,
